Machine ID;Machine Name;Section;Description;Status;Criticality
ASSEMBLY (40 Units);;;;;
MB-ASS-001;Robotic Arm KUKA-X1;Assembly L1;Chassis Welding Unit;WORKING;HIGH
MB-ASS-002;Robotic Arm KUKA-X2;Assembly L1;Chassis Welding Unit;WORKING;HIGH
MB-ASS-003;Nut Runner Station A;Assembly L1;Critical Torque Fastening;WORKING;HIGH
MB-ASS-004;Glass Fit Robot G1;Assembly L2;Windshield Installation;WORKING;MEDIUM
MB-ASS-005;Interior Line Conv;Assembly L2;Dashboard Transport System;WORKING;MEDIUM
MB-ASS-006;Door Seal Press;Assembly L2;Weather-strip Application;WORKING;MEDIUM
MB-ASS-007;Seats Install Unit;Assembly L3;Ergonomic Lift Assist;WORKING;LOW
MB-ASS-008;Fluid Fill Station;Assembly L3;Brake/Coolant Injection;WORKING;HIGH
MB-ASS-009;Marriage Station 1;Assembly L4;Body-to-Chassis Joiner;WORKING;HIGH
MB-ASS-010;Marriage Station 2;Assembly L4;Body-to-Chassis Joiner;WORKING;HIGH
MB-ASS-011..040;[Sequence 011 to 040];Assembly;Generic Assembly Units;WORKING;MEDIUM
PAINT SHOP (25 Units);;;;;
MB-PNT-001;E-Coat Tank 01;Paint Shop;Anti-corrosion Dip Tank;WORKING;HIGH
MB-PNT-002;Spray Booth Alpha;Paint Shop;Base Coat Application;WORKING;HIGH
MB-PNT-003;Spray Booth Beta;Paint Shop;Clear Coat Application;WORKING;HIGH
MB-PNT-004;Oven Curing Unit 1;Paint Shop;High-Temp Drying Oven;WORKING;HIGH
MB-PNT-005;Sealer Robot S1;Paint Shop;Underbody Protection;WORKING;MEDIUM
MB-PNT-006;Sanding Station;Paint Shop;Surface Preparation;WORKING;LOW
MB-PNT-007;Air Filtration U1;Paint Shop;Cleanroom Pressure Unit;WORKING;HIGH
MB-PNT-008..025;[Sequence 008 to 025];Paint Shop;Paint Auxiliary Units;WORKING;MEDIUM
ENGINE PREP (20 Units);;;;;
MB-ENG-001;Crankshaft Press;Engine Prep;Heavy Duty Hydraulic Press;WORKING;HIGH
MB-ENG-002;Piston Inserter;Engine Prep;Precision Alignment Tool;WORKING;HIGH
MB-ENG-003;Head Bolt Torque;Engine Prep;Multi-Spindle Nut Runner;WORKING;HIGH
MB-ENG-004;Leak Test Station;Engine Prep;Cylinder Pressure Tester;WORKING;HIGH
MB-ENG-005;Cold Test Cell;Engine Prep;Dynamic Engine Tester;WORKING;HIGH
MB-ENG-006..020;[Sequence 006 to 020];Engine Prep;Engine Prep Units;WORKING;MEDIUM
LOGISTICS & QC (20 Units);;;;;
MB-LOG-001;AGV Carrier 101;Logistics;Autonomous Parts Transport;WORKING;MEDIUM
MB-LOG-002;AGV Carrier 102;Logistics;Autonomous Parts Transport;WORKING;MEDIUM
MB-LOG-003;Warehouse Crane 1;Logistics;High-Bay Storage Retrieval;WORKING;MEDIUM
MB-QC-001;Laser Scanner 3D;Quality;Body-in-white Variance;WORKING;HIGH
MB-QC-002;Rain Test Chamber;Quality;Waterproofing Verification;WORKING;MEDIUM
MB-QC-003;Dyno Track 01;Quality;Final Performance Test;WORKING;HIGH
MB-QC-004..020;[Sequence 004 to 020];Quality/Log;Audit & Transport Units;WORKING;LOW
